date,auction_id,funds_placed,currency,term_days,firstdate,seconddate,rate_type,min_rate,cutoff_rate,wa_accept_rate,maxvol_bln,totalbid_bln,totalaccept_bln,totalsettle_bln,placed_volume_bln,volume_source,cr_bidders,accept_cr_bidders,place,comment,is_failed_auction,source_file_path,file_name,selection_number,file_url
2021-02-04,22021003,средства единого казначейского счёта,рубли,14.0,2021-02-05,2021-02-19,FIXED,4.05,4.05,4.05,400.0,1.0,1.0,1.0,1.0,totalsettle,1.0,1.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-02-04_20251229_163256655.XML,20251229_163256655.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251229_163256655.XML
2021-02-11,22021006,средства единого казначейского счёта,рубли,14.0,2021-02-12,2021-02-26,FIXED,4.05,,,400.0,,,,0.0,failed_auction_zero,,,АО СПВБ,Отбор заявок кредитных организаций на заключение договоров банковского депозита признан несостоявшимся,1,data/m5/roskazna_deposits/raw_files/2021-02-11_20251229_163116371.XML,20251229_163116371.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251229_163116371.XML
2021-02-24,22021007,средства единого казначейского счёта,рубли,21.0,2021-02-25,2021-03-18,FIXED,4.05,,,100.0,,,,0.0,failed_auction_zero,,,ПАО Московская Биржа,Отбор заявок кредитных организаций на заключение договоров банковского депозита признан несостоявшимся,1,data/m5/roskazna_deposits/raw_files/2021-02-24_20251229_162943974.XML,20251229_162943974.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251229_162943974.XML
2021-02-25,22021008,средства единого казначейского счёта,рубли,14.0,2021-02-26,2021-03-12,FIXED,4.05,,,50.0,,,,0.0,failed_auction_zero,,,АО СПВБ,Отбор заявок кредитных организаций на заключение договоров банковского депозита признан несостоявшимся,1,data/m5/roskazna_deposits/raw_files/2021-02-25_20251229_162818337.XML,20251229_162818337.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251229_162818337.XML
2021-03-04,22021010,средства единого казначейского счёта,рубли,14.0,2021-03-05,2021-03-19,FIXED,4.05,,,100.0,,,,0.0,failed_auction_zero,,,АО СПВБ,Отбор заявок кредитных организаций на заключение договоров банковского депозита признан несостоявшимся,1,data/m5/roskazna_deposits/raw_files/2021-03-04_20251229_162628939.XML,20251229_162628939.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251229_162628939.XML
2021-03-11,22021012,средства единого казначейского счёта,рубли,14.0,2021-03-12,2021-03-26,FIXED,4.05,,,15.0,,,,0.0,failed_auction_zero,,,АО СПВБ,Отбор заявок кредитных организаций на заключение договоров банковского депозита признан несостоявшимся,1,data/m5/roskazna_deposits/raw_files/2021-03-11_20251229_162016846.XML,20251229_162016846.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251229_162016846.XML
2021-03-18,22021015,средства единого казначейского счёта,рубли,14.0,2021-03-19,2021-04-02,FIXED,4.05,4.05,4.05,5.0,5.0,5.0,5.0,5.0,totalsettle,1.0,1.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-03-18_20251229_161906316.xml,20251229_161906316.xml,,https://roskazna.gov.ru/storage/operation-day-files/20251229_161906316.xml
2021-03-25,22021017,средства единого казначейского счёта,рубли,14.0,2021-03-26,2021-04-09,FIXED,4.29,4.29,4.29,75.0,75.0,75.0,75.0,75.0,totalsettle,1.0,1.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-03-25_20251229_161554523.XML,20251229_161554523.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251229_161554523.XML
2021-04-08,22021022,средства единого казначейского счёта,рубли,14.0,2021-04-09,2021-04-23,FIXED,4.29,4.29,4.29,50.0,52.5,50.0,50.0,50.0,totalsettle,2.0,2.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-04-08_20251229_161425805.XML,20251229_161425805.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251229_161425805.XML
2021-04-15,22021024,средства единого казначейского счёта,рубли,14.0,2021-04-16,2021-04-30,FIXED,4.29,4.29,4.29,200.0,200.0,200.0,200.0,200.0,totalsettle,1.0,1.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-04-15_20251229_161237546.XML,20251229_161237546.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251229_161237546.XML
2021-04-22,22021026,средства единого казначейского счёта,рубли,14.0,2021-04-23,2021-05-07,FIXED,4.29,4.35,4.35,200.0,353.0,200.0,200.0,200.0,totalsettle,4.0,2.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-04-22_20251225_180812462.XML,20251225_180812462.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251225_180812462.XML
2021-04-29,22021028,средства единого казначейского счёта,рубли,14.0,2021-04-30,2021-05-14,FIXED,4.76,4.76,4.77,300.0,499.0,300.0,300.0,300.0,totalsettle,3.0,3.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-04-29_20251225_180620290.XML,20251225_180620290.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251225_180620290.XML
2021-05-06,22021030,средства единого казначейского счёта,рубли,14.0,2021-05-07,2021-05-21,FIXED,4.76,4.76,4.76,300.0,370.0,300.0,300.0,300.0,totalsettle,3.0,3.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-05-06_20251225_180020713.XML,20251225_180020713.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251225_180020713.XML
2021-05-13,22021032,средства единого казначейского счёта,рубли,14.0,2021-05-14,2021-05-28,FIXED,4.76,4.79,4.79,100.0,221.5,100.0,80.0,80.0,totalsettle,4.0,1.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-05-13_20251225_175840416.XML,20251225_175840416.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251225_175840416.XML
2021-05-20,22021034,средства единого казначейского счёта,рубли,14.0,2021-05-21,2021-06-04,FIXED,4.76,4.76,4.76,300.0,388.895,300.0,300.0,300.0,totalsettle,2.0,2.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-05-20_20251225_175630470.xml,20251225_175630470.xml,,https://roskazna.gov.ru/storage/operation-day-files/20251225_175630470.xml
2021-05-27,22021038,средства единого казначейского счёта,рубли,14.0,2021-05-28,2021-06-11,FIXED,4.76,4.76,4.76,300.0,310.0,300.0,300.0,300.0,totalsettle,2.0,2.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-05-27_20251225_175419272.XML,20251225_175419272.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251225_175419272.XML
2021-06-03,22021040,средства единого казначейского счёта,рубли,14.0,2021-06-04,2021-06-18,FIXED,4.76,4.76,4.76,200.0,200.0,200.0,200.0,200.0,totalsettle,1.0,1.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-06-03_20251225_174934364.XML,20251225_174934364.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251225_174934364.XML
2021-06-10,22021042,средства единого казначейского счёта,рубли,14.0,2021-06-11,2021-06-25,FIXED,4.76,5.01,5.01,250.0,487.128,250.0,250.0,250.0,totalsettle,4.0,2.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-06-10_20251225_174807867.xml,20251225_174807867.xml,,https://roskazna.gov.ru/storage/operation-day-files/20251225_174807867.xml
2021-06-17,22021044,средства единого казначейского счёта,рубли,14.0,2021-06-18,2021-07-02,FIXED,5.24,5.29,5.29,200.0,410.0,200.0,200.0,200.0,totalsettle,4.0,2.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-06-17_20251225_174627888.XML,20251225_174627888.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251225_174627888.XML
2021-06-24,22021046,средства единого казначейского счёта,рубли,14.0,2021-06-25,2021-07-09,FIXED,5.24,5.31,5.31,400.0,640.0,400.0,400.0,400.0,totalsettle,2.0,1.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-06-24_20251225_174327267.XML,20251225_174327267.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251225_174327267.XML
2021-07-01,22021048,средства единого казначейского счёта,рубли,14.0,2021-07-02,2021-07-16,FIXED,5.24,5.24,5.28,200.0,335.0,200.0,200.0,200.0,totalsettle,3.0,3.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-07-01_20251225_173856756.XML,20251225_173856756.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251225_173856756.XML
2021-07-08,22021050,средства единого казначейского счёта,рубли,14.0,2021-07-09,2021-07-23,FIXED,5.24,5.24,5.31,245.0,442.406,245.0,245.0,245.0,totalsettle,4.0,4.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-07-08_20251225_173530935.XML,20251225_173530935.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251225_173530935.XML
2021-07-15,22021052,средства единого казначейского счёта,рубли,14.0,2021-07-16,2021-07-30,FIXED,5.24,5.51,5.51,200.0,436.0,200.0,200.0,200.0,totalsettle,5.0,1.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-07-15_20251224_175241554.XML,20251224_175241554.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251224_175241554.XML
2021-07-22,22021054,средства единого казначейского счёта,рубли,14.0,2021-07-23,2021-08-06,FIXED,5.24,5.84,5.84,350.0,800.0,350.0,350.0,350.0,totalsettle,5.0,1.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-07-22_20251224_175006585.XML,20251224_175006585.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251224_175006585.XML
2021-07-29,22021056,средства единого казначейского счёта,рубли,14.0,2021-07-30,2021-08-13,FIXED,6.19,6.38,6.48,400.0,704.998,400.0,400.0,400.0,totalsettle,6.0,2.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-07-29_20251224_174520649.xml,20251224_174520649.xml,,https://roskazna.gov.ru/storage/operation-day-files/20251224_174520649.xml
2021-08-05,22021058,средства единого казначейского счёта,рубли,14.0,2021-08-06,2021-08-20,FIXED,6.19,6.28,6.28,200.0,374.0,200.0,200.0,200.0,totalsettle,5.0,1.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-08-05_20251224_170054116.xml,20251224_170054116.xml,,https://roskazna.gov.ru/storage/operation-day-files/20251224_170054116.xml
2021-08-12,22021060,средства единого казначейского счёта,рубли,14.0,2021-08-13,2021-08-27,FIXED,6.19,6.3,6.3,300.0,550.0,300.0,300.0,300.0,totalsettle,5.0,2.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-08-12_20251224_154838533.XML,20251224_154838533.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251224_154838533.XML
2021-08-19,22021062,средства единого казначейского счёта,рубли,14.0,2021-08-20,2021-09-03,FIXED,6.19,6.38,6.43,200.0,486.0,200.0,200.0,200.0,totalsettle,8.0,4.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-08-19_20251224_154541862.XML,20251224_154541862.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251224_154541862.XML
2021-08-26,22021064,средства единого казначейского счёта,рубли,14.0,2021-08-27,2021-09-10,FIXED,6.19,6.19,6.19,500.0,671.799,500.0,500.0,500.0,totalsettle,8.0,8.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-08-26_20251224_154345739.XML,20251224_154345739.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251224_154345739.XML
2021-09-02,22021066,средства единого казначейского счёта,рубли,14.0,2021-09-03,2021-09-17,FIXED,6.19,6.26,6.26,200.0,473.0,200.0,175.0,175.0,totalsettle,6.0,2.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-09-02_20251224_152953756.XML,20251224_152953756.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251224_152953756.XML
2021-09-09,22021069,средства единого казначейского счёта,рубли,14.0,2021-09-10,2021-09-24,FIXED,6.19,6.44,6.53,500.0,983.97,500.0,500.0,500.0,totalsettle,9.0,3.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-09-09_20251224_152042813.XML,20251224_152042813.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251224_152042813.XML
2021-09-16,22021071,средства единого казначейского счёта,рубли,14.0,2021-09-17,2021-10-01,FIXED,6.43,6.55,6.59,200.0,340.0,200.0,200.0,200.0,totalsettle,8.0,4.0,АО СПВБ,,0,data/m5/roskazna_deposits/raw_files/2021-09-16_20251224_151923628.XML,20251224_151923628.XML,,https://roskazna.gov.ru/storage/operation-day-files/20251224_151923628.XML
